d_0,Re_l0,f
0.302,76564.4423568,0.0181860659598
0.302,101067.141244,0.0170553158826
0.302,120937.477474,0.016225030402
0.302,137567.975982,0.0158704102726
0.423,83814.6264963,0.0182052527571
0.423,104369.049605,0.0177444989734
0.423,105980.759164,0.0178793335108
0.423,115485.704702,0.0177079442461
0.423,129966.114838,0.0171111475215
0.423,141839.243107,0.0169729360112
0.423,146940.692795,0.0162084271208
0.423,148065.054839,0.0167370251665
0.423,150817.883624,0.0165065222969
0.423,175011.373109,0.0161687788809
0.423,213947.288027,0.0162757558457
0.5,106137.511979,0.0186048135693
0.5,148965.581471,0.0176032718852
0.5,189533.858746,0.0164614994439
0.5,220610.742456,0.0162731318499
0.71,226437.117902,0.0162958171435
0.71,285470.262179,0.0150311591164
0.71,316299.830222,0.0172410860365
