key,"d (m)",TI,"v (m/s)",L_b/d
ervine_effect_1980,0.006,0.003,1.15377793305,171.585213454
ervine_effect_1980,0.006,0.003,2.49137988954,237.474300918
ervine_effect_1980,0.006,0.003,3.89376368938,279.810263508
ervine_effect_1980,0.006,0.003,5.42321181419,314.52989156
ervine_effect_1980,0.006,0.003,6.85135516468,349.864953842
ervine_effect_1980,0.006,0.03,1.48583023153,125.158897593
ervine_effect_1980,0.006,0.03,3.68555073301,169.574974133
ervine_effect_1980,0.006,0.03,5.27885351859,195.390961986
ervine_effect_1980,0.006,0.03,6.80979319797,206.544027735
ervine_effect_1980,0.006,0.08,1.53863932598,90.7752052567
ervine_effect_1980,0.006,0.08,3.46254316774,93.0945054354
ervine_effect_1980,0.006,0.08,5.01843615206,109.985353203
ervine_effect_1980,0.006,0.08,6.78931455677,130.106558809
ervine_effect_1980,0.009,0.003,1.16484076433,157.324840764
ervine_effect_1980,0.009,0.003,2.82814616158,221.656050955
ervine_effect_1980,0.009,0.003,3.72333892055,247.770700637
ervine_effect_1980,0.009,0.003,5.04756285619,280.891719745
ervine_effect_1980,0.009,0.003,6.78862889708,314.012738854
ervine_effect_1980,0.009,0.03,1.39554810593,104.458598726
ervine_effect_1980,0.009,0.03,2.74531679517,133.121019108
ervine_effect_1980,0.009,0.03,4.24767013074,145.859872611
ervine_effect_1980,0.009,0.03,5.71104257459,175.796178344
ervine_effect_1980,0.009,0.03,6.74679182032,176.433121019
ervine_effect_1980,0.009,0.08,1.34743546765,66.2420382166
ervine_effect_1980,0.009,0.08,3.06396245391,87.898089172
ervine_effect_1980,0.009,0.08,5.32501508548,87.898089172
ervine_effect_1980,0.009,0.08,6.7388669125,101.910828025
ervine_effect_1980,0.014,0.003,1.3179916318,126.751965719
ervine_effect_1980,0.014,0.003,2.77405857741,190.363767442
ervine_effect_1980,0.014,0.003,4.00418410042,235.320275706
ervine_effect_1980,0.014,0.003,5.58577405858,266.712482903
ervine_effect_1980,0.014,0.003,6.81589958159,296.210053969
ervine_effect_1980,0.014,0.03,1.61924686192,92.5811385335
ervine_effect_1980,0.014,0.03,3.10041841004,126.560615555
ervine_effect_1980,0.014,0.03,5.05857740586,144.385826612
ervine_effect_1980,0.014,0.03,6.74058577406,166.10541777
ervine_effect_1980,0.014,0.08,1.35564853556,49.4532371192
ervine_effect_1980,0.014,0.08,2.69874476987,67.3444774591
ervine_effect_1980,0.014,0.08,4.10460251046,58.1758400205
ervine_effect_1980,0.014,0.08,5.09623430962,81.2577904446
ervine_effect_1980,0.014,0.08,6.7280334728,73.3531421179
ervine_effect_1980,0.025,0.003,1.40127388535,135.234246524
ervine_effect_1980,0.025,0.003,3.1847133758,176.075161287
ervine_effect_1980,0.025,0.003,4.47133757962,201.563808801
ervine_effect_1980,0.025,0.003,5.6050955414,229.661767371
ervine_effect_1980,0.025,0.03,1.36305732484,68.8978464295
ervine_effect_1980,0.025,0.03,2.67515923567,93.0927789231
ervine_effect_1980,0.025,0.03,4.33121019108,95.3137019601
ervine_effect_1980,0.025,0.03,5.75796178344,113.686916862
ervine_effect_1980,0.025,0.08,1.33757961783,33.4765856043
ervine_effect_1980,0.025,0.08,2.71337579618,50.5724962477
ervine_effect_1980,0.025,0.08,4.0127388535,36.7669432564
ervine_effect_1980,0.025,0.08,5.80891719745,58.9255737783
