key,"d (m)",TI,"Q (x1e3 m^3/s)","L_b (m)"
mckeogh_air_1980,0.006,0.05,0.0481125706027,0.498186044022
mckeogh_air_1980,0.006,0.05,0.0985158541997,0.598097806849
mckeogh_air_1980,0.02,0.05,0.200441185866,0.670466102939
mckeogh_air_1980,0.02,0.05,0.50518958905,0.760157203762
mckeogh_air_1980,0.02,0.05,0.635021351324,0.821367209961
mckeogh_air_1980,0.03,0.05,0.808866713519,0.844559254456
mckeogh_air_1980,0.02,0.05,0.905429953326,0.906411613462
mckeogh_air_1980,0.02,0.05,1.05350194519,0.977888904046
mckeogh_air_1980,0.006,0.01,0.0886920004628,1.0602343897
mckeogh_air_1980,0.006,0.01,0.106896140876,1.17138732666
mckeogh_air_1980,0.009,0.01,0.134760784016,1.27704400289
mckeogh_air_1980,0.006,0.01,0.15192213717,1.3032613219
mckeogh_air_1980,0.006,0.01,0.172310622478,1.30817739298
mckeogh_air_1980,0.009,0.01,0.189430188164,1.45120967812
mckeogh_air_1980,0.009,0.01,0.252698313479,1.58804118656
mckeogh_air_1980,0.009,0.01,0.324529070781,1.78842418078
mckeogh_air_1980,0.009,0.01,0.504733725767,2.03450228881
mckeogh_air_1980,0.006,0.003,0.0478998344042,1.09288041705
mckeogh_air_1980,0.006,0.003,0.0628711443722,1.24126391549
mckeogh_air_1980,0.006,0.003,0.087493459916,1.41070000915
mckeogh_air_1980,0.006,0.003,0.0992737269068,1.47949910295
mckeogh_air_1980,0.006,0.003,0.126063292473,1.59048627144
mckeogh_air_1980,0.009,0.003,0.14855254774,1.7227954089
mckeogh_air_1980,0.009,0.003,0.202124081151,1.96600883062
mckeogh_air_1980,0.009,0.003,0.305044714317,2.25605702435
mckeogh_air_1980,0.009,0.003,0.455126303484,2.70979639833
