nozzle,"P_atm (mm)",We_l0,L_b/d_0
B,70,668.944119090166,74.4259918476
B,70,886.742604612988,82.5308941657
B,70,2112.85831485494,103.40215738
B,70,4112.90971814604,121.81479773
B,250,548.432934919367,69.0225891523
B,250,747.352905264284,75.6532860311
B,250,1433.16028335029,97.5119925442
B,250,2090.71836668145,101.928153666
B,250,4050.78965773436,119.849593928
B,250,6178.63901783568,139.984763047
B,700,186.265137066618,44.2148665859
B,700,308.401412363418,52.5654698105
B,700,361.661941947969,59.1981839381
B,700,656.842799362069,70.9863808808
B,700,931.689980185631,80.5646817387
B,700,1237.86038807883,86.7033716297
B,700,2322.33993191991,100.943332791
B,700,2793.83713483576,105.11641543
B,700,3451.13013726416,111.745498509
G,70,352.051537593313,61.6553947285
G,70,1288.08366021474,96.5308027171
G,70,1432.67157495131,99.4775997967
G,70,1956.042725754,107.826185772
G,70,2271.71834344027,111.754576129
G,70,3112.95646806588,110.765115582
G,70,3276.16821380922,121.083343308
G,70,6177.11689266608,142.933173926
G,70,7557.86121395655,153.000052448
G,70,9313.32834282816,164.048725973
G,250,1168.01466603557,93.3381030061
G,250,1415.84698921803,92.3524752315
G,250,1850.08257916544,102.667475359
G,250,5005.44256804934,131.883088327
G,250,6178.63901783568,139.984763047
G,250,8573.74978046108,154.961020029
G,700,886.646495076237,83.0222959788
G,700,7271.92163018019,133.591092905
