page,fig,"d_0 (mm)",L_0/d_0,"Ubar_0 (m/s)","P_atm (MPa)","theta (rad)","xbavg (mm)","regime photo","regime L_b","photo filename"
1714,22,0.3,50,120,0.1,0.0712078345149,,,,
1714,22,0.3,50,120,1,0.138996354348,,,,
1714,22,0.3,50,120,1,0.141153432652,,,,
1714,22,0.3,50,120,2,0.17492825906,,,,
1714,22,0.3,50,120,3,0.240001940037,,,,
1714,22,0.3,50,120,3,0.209785868449,,atomization,,shimizu_measurements_1984_fig_15.jpg
1714,22,0.3,50,120,4,0.20957125189,,atomization,,
1714,22,0.3,50,120,4,0.238167392833,,atomization,,
1712,8,0.3,50,11.2310791627,0.1,,20.6292017112,,R2S,
1712,8,0.3,50,12.884762764,0.1,,23.551992084,,R2S,
1712,8,0.3,50,14.5694893112,0.1,,24.4177992491,,R2S,
1712,8,0.3,50,20.9662763663,0.1,,28.0506970111,,"second wind-induced",
1712,8,0.3,50,20.6034619352,0.1,,29.5916882512,,"second wind-induced",
1712,8,0.3,50,22.9646660135,0.1,,30.632403015,,"second wind-induced",
1712,8,0.3,50,26.3444667566,0.1,,31.678356276,,"second wind-induced",
1712,8,0.3,50,30.6652567995,0.1,,37.8720060534,,"second wind-induced",
1712,8,0.3,50,32.0001034765,0.1,,39.421728122,,"second wind-induced",
1712,8,0.3,50,37.0568700303,0.1,,41.84773435,,"second wind-induced",
1712,8,0.3,50,38.3968905316,0.1,,43.054625884,,"second wind-induced",
1712,8,0.3,50,41.7792781868,0.1,,43.9291638777,,"second wind-induced",
1712,8,0.3,50,48.11397935,0.1,,51.6760280551,,"second wind-induced",
1712,8,0.3,50,47.7149481486,0.1,,55.6168330375,,"second wind-induced",
1712,8,0.3,50,55.5319499821,0.1,,55.1427490469,,S2A,
1712,8,0.3,50,55.1484402536,0.1,,58.0550624254,,S2A,
1712,8,0.3,50,55.1277449563,0.1,,59.4263845639,,S2A,
1712,8,0.3,50,61.5762702547,0.1,,59.6309769797,,S2A,
1712,8,0.3,50,61.5426403966,0.1,,61.8593754547,,S2A,
1712,8,0.3,50,68.3565670382,0.1,,60.3515613632,,S2A,
1712,8,0.3,50,74.4784946758,0.1,,59.6973312767,,S2A,
1712,8,0.3,50,74.5328198313,0.1,,56.0976106633,,S2A,
1712,8,0.3,50,82.6893538864,0.1,,55.6252728384,,S2A,
1712,8,0.3,50,101.744548891,0.1,,52.9804138413,,atomization,
1712,8,0.3,50,111.637547737,0.1,,49.9455778353,,atomization,
1712,8,0.3,50,121.074603313,0.1,,54.6226826926,,atomization,
1712,8,0.3,50,129.946418582,0.1,,51.7540234568,,atomization,
1712,8,0.3,50,159.172058762,0.1,,50.1900410349,,atomization,
1712,8,0.3,50,36.0055493385,3,,24.1448346696,,S2A,
1712,8,0.3,50,35.6552665062,3,,24.8499992335,,S2A,
1712,8,0.3,50,47.455275704,3,,26.1278800607,,S2A,
1712,8,0.3,50,56.8224671562,3,,27.9269694786,,S2A,
1712,8,0.3,50,56.8270660555,3,,26.867383073,,S2A,
1712,8,0.3,50,64.1155550105,3,,27.5995278463,,S2A,
1712,8,0.3,50,64.4681372925,3,,26.3645700796,,S2A,
1712,8,0.3,50,71.7573927307,3,,26.9201171186,,S2A,
1712,8,0.3,50,70.7333711465,3,,22.8546901108,,S2A,
1712,8,0.3,50,88.4291692855,3,,25.7427988901,,S2A,
1712,8,0.3,50,100.93740898,3,,23.8443732467,,atomization,
1712,8,0.3,50,111.358514862,3,,22.8215780357,,atomization,
1712,8,0.3,50,121.428571429,3,,22.6805451229,,atomization,
1712,8,0.3,50,155.47192372,3,,19.0921772722,,atomization,
1712,8,0.3,50,183.59112719,3,,20.4276976377,,atomization,
