date,time,"video filename","temp. (F, weather service)",humidity,"P_atm (inHg)","temp. (C, anemometer)","max. wind speed (m/s)","h_0 (cm)","d_0 (in)","L_0 (in)",roughness,"Vol. (L)","dP (psi)","start frame","end frame","regime photo","trough start (ft.)","trough length (ft.)","no. troughts",R_min,"trough 1 volume (mL)","trough 2 volume (mL)","trough 3 volume (mL)","trough 4 volume (mL)","trough 5 volume (mL)","trough 6 volume (mL)","trough 7 volume (mL)","trough 8 volume (mL)","trough 9 volume (mL)","trough 10 volume (mL)","trough 11 volume (mL)","trough 12 volume (mL)","trough 13 volume (mL)","trough 14 volume (mL)","trough 15 volume (mL)","trough 16 volume (mL)","trough 17 volume (mL)","trough 18 volume (mL)","trough 19 volume (mL)","trough 20 volume (mL)","trough 21 volume (mL)","trough 22 volume (mL)","trough 23 volume (mL)","trough 24 volume (mL)","trough 25 volume (mL)","trough 26 volume (mL)","trough 27 volume (mL)","trough 28 volume (mL)","trough 29 volume (mL)","trough 30 volume (mL)","trough 31 volume (mL)","trough 32 volume (mL)","trough 33 volume (mL)","trough 34 volume (mL)","trough 35 volume (mL)","trough 36 volume (mL)","trough 37 volume (mL)","trough 38 volume (mL)"
2019/06/04,,FILE5462.MOV,82,0.72,29.93,,,,0.066,12,smooth,2,10,3120,11809,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/04,,FILE5463.MOV,82,0.72,29.93,,,,0.066,12,smooth,2,18,1979,6079,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/04,,FILE5464.MOV,82,0.72,29.93,,,,0.066,12,smooth,2,30,2282,5322,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/04,,FILE5466.MOV,82,0.72,29.93,,,,0.066,12,smooth,2,40,2104,4945,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/04,,FILE5467.MOV,82,0.72,29.93,,,,0.066,12,smooth,2,80,2165,4095,R2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/06,,FILE5477.MOV,92,0.4,29.8,,,,0.347,10.5,smooth,4,6,41,272,"second wind-induced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/06,,FILE5478.MOV,92,0.4,29.8,,,,0.347,10.5,smooth,4,20,14,219,"second wind-induced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/12,,FILE5487.MOV,89,0.39,29.98,,,,0.347,10.5,smooth,12,4,1994,3010,R2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/12,,FILE5488.MOV,89,0.39,29.98,,,,0.347,10.5,smooth,12,12,1823,2528,"second wind-induced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/12,,FILE5489.MOV,89,0.39,29.98,,,,0.191,12,smooth,8,3.5,6281,9355,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/12,,FILE5490.MOV,89,0.39,29.98,,,,0.191,12,smooth,8,8.5,1772,3909,Rayleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/12,,FILE5491.MOV,89,0.39,29.98,,,,0.191,12,smooth,8,14.5,1645,3280,R2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/13,,FILE5504.MOV,92,0.49,29.81,,,,0.191,12,smooth,8,45,1689,2574,"second wind-induced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/08/05,11:40:00,FILE5670.MOV,87,0.63,30.01,,0.5,36.5,0.191,12,smooth,12,50,180,1323,"second wind-induced",36,14.083333333333334,38,,124,130,115,122,125,96,138,150,110,145,120,125,140,143,135,135,140,125,120,135,122,125,93,122,75,82,50,45,60,40,33,10,10,5,5,0,0,0
2019/08/06,13:10:00,FILE5677.MOV,,,,36.7,0.7,37,0.191,12,smooth,12,20,203,1947,"second wind-induced",23.083333333333332,14,38,18.916666666666668,10,10,15,15,22,30,38,40,40,48,70,108,150,183,275,285,335,420,589,665,645,473,450,675,566,380,310,310,125,68,40,8,5,2,2,2,0,0
2019/10/26,14:00:00,FILE5939.MOV,75,0.37,29.9,,,58.42,0.347,10.5,smooth,12,27,573,988,"second wind-induced",54.125,14.208333333333334,38,,110,103,55,39,26,20,10,8,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/10/26,14:35:00,FILE5940.MOV,75,0.37,29.9,,,57.15,0.347,10.5,smooth,12,27,776,1170,"second wind-induced",45,14.25,38,,210,245,195,230,225,185,280,260,250,230,260,250,275,250,250,220,240,190,185,100,82,58,20,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/10/26,15:55:00,FILE5941.MOV,75,0.38,29.9,,,34.29,0.191,12,smooth,6,15,4589,5546,"second wind-induced",18.166666666666668,14.083333333333334,38,,0,0,0,0,0,0,0,0,0,0,0,5,6,10,17,35,55,112,260,405,600,1060,835,340,68,36,10,3,0,0,0,0,0,0,0,0,0,0
